ID,2022_Value
100_X_Absa,0.0
100_X_Clicks,0.0
100_X_Distell,0.0
100_X_Impala,0.0
100_X_Oceana1&2,0.0
100_X_Picknpay,0.0
100_X_Sasol,0.0
100_X_Ssw,0.0
100_X_Tongaat,0.0
100_X_Uct1&2,0.0
101_X_Absa,0.0
101_X_Clicks,0.0
101_X_Distell,0.0
101_X_Impala,0.0
101_X_Oceana1&2,0.0
101_X_Picknpay,0.0
101_X_Sasol,0.0
101_X_Ssw,0.0
101_X_Tongaat,0.0
101_X_Uct1&2,0.0
1035_X_Absa,0.0
1035_X_Clicks,0.0
1035_X_Distell,0.0
1035_X_Impala,0.0
1035_X_Oceana1&2,0.0
1035_X_Picknpay,0.0
1035_X_Sasol,0.0
1035_X_Ssw,0.0
1035_X_Tongaat,0.0
1035_X_Uct1&2,0.0
1036_X_Absa,0.0
1036_X_Clicks,0.0
1036_X_Distell,0.0
1036_X_Impala,0.0
1036_X_Oceana1&2,0.0
1036_X_Picknpay,0.0
1036_X_Sasol,0.0
1036_X_Ssw,0.0
1036_X_Tongaat,0.0
1036_X_Uct1&2,0.0
1037_X_Absa,0.0
1037_X_Clicks,0.0
1037_X_Distell,0.0
1037_X_Impala,0.0
1037_X_Oceana1&2,0.0
1037_X_Picknpay,0.0
1037_X_Sasol,0.0
1037_X_Ssw,0.0
1037_X_Tongaat,0.0
1037_X_Uct1&2,0.0
1038_X_Absa,0.0
1038_X_Clicks,0.0
1038_X_Distell,0.0
1038_X_Impala,0.0
1038_X_Oceana1&2,0.0
1038_X_Picknpay,0.0
1038_X_Sasol,0.0
1038_X_Ssw,0.0
1038_X_Tongaat,0.0
1038_X_Uct1&2,0.0
1039_X_Absa,0.0
1039_X_Clicks,0.0
1039_X_Distell,0.0
1039_X_Impala,0.0
1039_X_Oceana1&2,0.0
1039_X_Picknpay,0.0
1039_X_Sasol,0.0
1039_X_Ssw,0.0
1039_X_Tongaat,0.0
1039_X_Uct1&2,0.0
103_X_Absa,0.0
103_X_Clicks,0.0
103_X_Distell,0.0
103_X_Impala,0.0
103_X_Oceana1&2,0.0
